basic_info_brand,basic_info_family,basic_info_reference,basic_info_name,basic_info_produced,basic_info_limited,case_material,case_glass,case_back,case_shape,case_diameter,case_height,case_lug width,dial_color,dial_material,dial_indexes,dial_hands,movement_type,movement_brand,movement_caliber,movement_display,movement_diameter,movement_jewels,movement_reserve,movement_frequency,movement_time,description,image_link
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Reverse Panda / Limited Edition,2010 - 2010,"Yes, 200 units",Stainless steel,Sapphire,Open,Round,43.00 mm,,,Black,,Stick / Dot,,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","Transocean Chronograph Limited Edition was the first B01-powered Breitling to feature a see-through caseback. It has a black dial with silver subdials.

The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.   REF. AB015112.BA59.154A",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015112ba594154a-17.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel Red Gold / Brown / Calf,,No,,Sapphire,Open,Round,43.00 mm,14.40 mm,22.00 mm,Brown,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ub015212-q594-433x-d1.jpg
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Lume / Leather,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,White,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a full lume dial and is fitted a leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239-a1-1-h-14.jpg
Archimede,Pilot,,Pilot Chornograph Staineless Steel / Black / Bracelet,,No,Stainless steel,Sapphire,Open,Round,42.00 mm,13.60 mm,,Black,,Arabic Numerals,Sword,Automatic,ETA,7750,Analog,30.00 mm,25,42 h,28800 bph,"Hours, Minutes, Small Seconds","Classic design, engineering precision and functionality are the guidelines for this outstanding chronograph.

This Pilot watch is powered by a Swiss Made Eta 7750 Elaboré automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel or black PVD finished by Ickler. The Pilot Chronograph is available with display back or - as an option - with a solid case back.

The catchy Pilot crown and the large pushers are designed for optimal usability. The classic pilot's-style dial with luminous hands allows a clear time reading. The date is discreetly shown at six o'clock.

Reference UA7939B-C1.1 is fitted with a stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/pilot/ua7939b-c1-1-eb.jpg
Bell & Ross,Instruments,,BR 01 94 Carbon Fiber Chronograph,,"Yes, 500 units",,Sapphire,Closed,Square,46.00 mm,,,Black,Carbon,Mixed,Stick,Automatic,ETA,2894-2,Analog,28.00 mm,37,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Carbon Fiber BR 01 is sculpted from carbon fiber. case, dial and strap. The ultra-light and extremely tough carbon fiber optimizes the watch's performance: it gives the wearer unrivaled comfort without compromising the solidity of the case.
The present example features a carbon fiber case, dial and strap. The three-counter chronograph movement is automatic and also features a date window at 4:30.
Reference BR0194-CA FIBER",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0194cafiber-8e.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Croco / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-744p-r20d-1-a9.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Calf / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-435x-r20ba-1-b9.png
Audemars Piguet,Millenary,,Millenary 4101 White Gold,2011,No,White gold,Sapphire,Open,Oval,47.00 mm,13.00 mm,,Black,,Roman Numerals,Alpha,Automatic,Audemars Piguet,AP 4101,Analog,26.60 mm,34,60 h,28800 bph,"Hours, Minutes, Small Seconds","The Audemars Piguet Millenary 4101 was introduced in 2011. It features the signature oval Millienary case paired with an in-house, oval-shaped movement with the balance wheel visible from the front.

Reference 15350ST.OO.D002CR.01 has a white gold case. ",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15350st-oo-d002cr-01-d1.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Calf / Folding,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-436x-a20d-1-2a.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Bracelet,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","Transocean Chronograph  The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.   REF. AB015212.BA99.154A",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-154a-33.jpg
Breitling,Transocean,,Transocean Chronograph Unitime Pilot Red Gold / Black / Rubber,2013,No,Red Gold,Sapphire,Closed,Round,46.00 mm,15.40 mm,24.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B05,Analog,,56,70 h,28800 bph,"Hours, Minutes, Small Seconds, World Time","The Breitling Transocean Chronograph Unitime pairs a chronograph with a world time function, courtesy of its in-house caliber B05. Thanks to its double disk, the Transocean Chronograph Unitime provides at-a-glance reading, anywhere in the world, of the time in all 24 timezones. When the user changes timezone, simply turning the crown forwards or backwards enables instant correction of the hour hand, the city disk and the 24-hour disk – while automatically adjusting the date to local time.

The Transocean Chronograph Unitime Pilot was added to the collection in 2013. It features a more instrumental and less ornamental dial, lacking the globe found on the original models.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb0510u5-bc39-256s-74.jpg
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Black / Rubber,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Black,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a black dial and is fitted a rubber strap.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239s-a2-1-h-d0.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Croco / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a stainless steel case and a black dial.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-740p-a20d-1-8e.png
Breitling,Transocean,,Transocean Chronograph Unitime Stainless Steel / Silver / Croco,2016,No,Stainless steel,Sapphire,Closed,Round,46.00 mm,15.40 mm,24.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B05,Analog,,56,70 h,28800 bph,"Hours, Minutes, Small Seconds, World Time","The Breitling Transocean Chronograph Unitime pairs a chronograph with a world time function, courtesy of its in-house caliber B05. Thanks to its double disk, the Transocean Chronograph Unitime provides at-a-glance reading, anywhere in the world, of the time in all 24 timezones. When the user changes timezone, simply turning the crown forwards or backwards enables instant correction of the hour hand, the city disk and the 24-hour disk – while automatically adjusting the date to local time. ",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab0510u0-a790-760p-e0.jpg
Audemars Piguet,Millenary,,Millenary MC 12,2006,"Yes, 150 units",Platinum,Sapphire,Open,Oval,47.00 mm,16.30 mm,,Skeleton,,Arabic Numerals,Alpha,Handwound,Audemars Piguet,AP 2884,Analog,31.60 mm,30,237 h,21600 bph,"Hours, Minutes, Small Seconds",The AUdemars Piguet Millenary MC 12 is a limited edition of 150 pieces created in celebration of the Audemars Piguet & Maserati partnership and the MC 12 supercar of the latter. It features a platinum case and a ,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/26069pt-oo-d028cr-01-5a.png
Audemars Piguet,Millenary,,Millenary Hand-wound Rose Gold / Mother of Pearl,2017,No,Rose Gold,Sapphire,Open,Oval,39.50 mm,9.80 mm,20.00 mm,White,Mother of Pearl,Arabic Numerals,Alpha,Handwound,Audemars Piguet,AP 5201,Analog,32.74 mm,19,54 h,21600 bph,"Hours, Minutes, Small Seconds","Hand-wound watch with small seconds. It has a 18-carat rose gold case, a diamond-set bezel and lugs and the crown is set with a pink cabochon sapphire. White mother-of-pearl dial, pink gold hands. 116 brilliant-cut diamonds ; ~0.60 carats

Reference 77247BC.ZZ.A813CR.01 has a white mother of pearl dial and is fitted a brown alligator strap",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/77247or-zz-a812cr-01-89.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Croco / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a stainless steel case and a black dial.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-732p-a20d-1-80.png
Apple,Watch,,Watch 38mm,2015,No,,Sapphire,Closed,Rectangular,33.30 mm,10.50 mm,,,,,,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 38mm has a stainless steel case with a ceramic back in 33.3x38.6mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a white rubber strap.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj302ll-f3.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Croco / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-737p-r20ba-1-40.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Racer,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-222a-57.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Croco / Folding,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-738p-a20d-1-5a.png
Audemars Piguet,Jules Audemars,,Jules Audemars 25866 Grande Complication Platinum / White Breguet,,No,Platinum,Sapphire,Open,Round,42.00 mm,14.00 mm,,Silver,,Arabic Numerals,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 25866PT.OO.D002CR.02 has a platinum case and a white dial with applied Breguet numerals.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/25866pt-oo-d002cr-02-21.png
Audemars Piguet,Jules Audemars,,Jules Audemars 26390 Perpetual Calendar Pink Gold / Silver,,No,Pink gold,Sapphire,Open,Round,41.00 mm,9.15 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2120 / 2802,Analog,28.40 mm,38,40 h,21600 bph,"Hours, Minutes","The Jules Audemars Perpetual Calendar reference 26390OR.OO.D088CR.01 has a pink gold case and a silver, sunburst dial. It is powered by the self-winding caliber AP 2120 paired with the 2802 perpetual calendar module.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26390or-oo-d088cr-01-d5.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Reverse Panda / Croco / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212/BF26 has a black dial with contrasting sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-bf26-731p-a20ba-1-2f.png
Apple,Watch,,Watch 42mm,2015,No,,Sapphire,Closed,Rectangular,35.90 mm,10.50 mm,,,,Mixed,Proprietary ,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 42mm has a stainless steel case with a ceramic back in 35.9x42.0mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a blue leather 'loop' strap with magnetic buckle system.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/w38ss-mbbl-detail-22.jpg
Audemars Piguet,Jules Audemars,,Jules Audemars 26000  Perpetual Calendar Platinum 30th Anniversary,2008 - 2009,"Yes, 90 units",Pink gold,Sapphire,Open,Round,41.00 mm,9.15 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2120 / 2802,Analog,28.40 mm,38,40 h,21600 bph,"Hours, Minutes","The Jules Audemars Perpetual Calendar reference 26000PT.OO.D028CR.01 has a platinum  case and a 'Tuscany' blue, sunburst dial. It is powered by the self-winding caliber AP 2120 paired with the 2802 perpetual calendar module. It was introduced in 2008 in honor of the 30th anniversary of AP's self-winding perpetual calendar.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26000pt-oo-d028cr-01-e2.png
Audemars Piguet,Jules Audemars,,Jules Audemars 15180 Dual Time White Gold / Silver,,No,White gold,Sapphire,Open,Round,41.00 mm,9.25 mm,,Silver,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2329 / 2846,Analog,26.50 mm,33,38 h,28800 bph,"Hours, Minutes, Additional 12 Hour Hand (adjustable), Day / Night Indication",The Jules Audemars 26380BC.OO.D002CR.01 has a white gold case and a silver dial with sunburst finish. It is powered by the self-winding caliber 2329 with module 2846.,https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26380bc-oo-d002cr-01-96.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Calf / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a black dial with black subdials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-435x-da.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Croco / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-737p-r20ba-1-72.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel Red Gold / Silver / Calf,,No,,Sapphire,Open,Round,43.00 mm,14.40 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ub015212-g777-433x-ef.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Calf / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a black dial with black subdials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-434x-a20d-1-a.png
Bell & Ross,Instruments,,BR01-92 10th Anniversary,2015,"Yes, 500 units",Ceramic,Sapphire,Closed,Square,46.00 mm,,,Black,,Mixed,Sword,Automatic,Bell & Ross,BR-CAL.302,Analog,25.60 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","In 2015, to mark the 10th anniversary of its iconic model, Bell & Ross released  the ""BR 01 10th Anniversary"" watch, available in an exclusive limited edition of 500 pieces. Its design is faithful to the original 2005 BR 01, but has been created with today’s most advanced techniques and materials. This is a limited edition watch with 500 pieces.
Reference: BR0192-10TH-CE",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192-10th-ce-c9.png
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Blue / Rubber,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Blue,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a blue dial and is fitted a rubber strap.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239s-a3-1-h-db.jpg
Bell & Ross,Instruments,,BR 03 90 Rose Gold,,"Yes, 100 units",Pink gold,Sapphire,Closed,Square,42.00 mm,11.50 mm,,Skeleton,,Mixed,Sword,Automatic,Soprod,9090,Analog,25.60 mm,28,42 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 03 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 03 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.

The present example features a rose gold case with an alligator strap. The dial is made of grey tinted mineral glass. This model is fitted with a big date display and a power reserve indicator.

Reference BR0390-PINKGOLD",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0390-pinkgold-87.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Croco / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-737p-a20ba-1-22.png
Audemars Piguet,Jules Audemars,,Jules Audemars 26023 Grande Complication Pink Gold / Sapphire / Bracelet,,No,Pink gold,Sapphire,Open,Round,42.00 mm,14.00 mm,,Sapphire,,Stick / Dot,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 26023OR.OO.1138OR.01 has a pink gold case and a sapphire dial, allowing for a view of the movement from the front as well as the back. It is fitted with a flush-fit pink gold bracelet.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26023or-oo-1138or-01-7b.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Racer,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-220r-1d.jpg
Cartier,Crash de Cartier,,Crash Skeleton Pink Gold,2016 - 2016,"Yes, 67 units",Pink gold,Mineral,Open,Other,28.15 mm,9.62 mm,,Skeleton,,Roman Numerals,Sword,Handwound,Cartier,9618 MC,Analog,21.20 mm,35,72 h,28800 bph,"Hours, Minutes","The Cartier Crash Skeleton was introduced in 2014 as a contemporary and highly limited take on the iconic Crash watch - one the brand's most sought-after classics. Limited to just 67 pieces, the sculpted case was made of platinum, housing an equally sculpted movement whose bridges were hollowed out to form the brand's signature Roman numerals. The size of the case is approximately 28.15*45.32 mm.

A pink gold Crash Skeleton, also limited to 67 pieces, was introduced in 2016. ",https://watchbase.r.sizr.io/watch/lg/cartier/santos-de-cartier/whch0006-30.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Blue / Milanese,2017,"Yes, 100 units",Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Blue,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.

Reference A453109T.C921.154A was added to the collection in 2017 as a limited edition of 1000 pieces.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a453109t-c921-154a-f9.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Croco / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a stainless steel case and a black dial.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-731p-a20ba-1-a.png
