Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
BURNHAM,Neighborhood,ES,"60,617",2018,BELOW AVERAGE,39,39th,24,24th,MODERATELY ORGANIZED,88.1,62.5,54%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",36,36th,20,20th,26,26th,3,3rd,55,55th,71,71st,74,74th,26,26th,31,31st,12,12th,3,3rd,12,12th,44,44th,44,44th,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,WEAK,WEAK,1.3,7.3,1.0 days,NEUTRAL,NEUTRAL,STRONG,94.2,94.5,"2,017","2,018",43.3,ESTABLISHED,41.714402,-87.567131
DEWEY,Neighborhood,ES,"60,609",2018,BELOW AVERAGE,21,21st,27,27th,WELL ORGANIZED,99.9,97.2,73%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",13,13th,7,7th,9,9th,10,10th,32,32nd,49,49th,69,69th,18,18th,10,10th,5,5th,15,15th,35,35th,58,58th,75,75th,STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,STRONG,1.2,20,2.0 days,VERY STRONG,STRONG,VERY STRONG,95.9,96.5,"2,017","2,018",31,NOT RATED,41.795646,-87.642652
SUMNER,Neighborhood,ES,"60,624",2018,AVERAGE,48,48th,52,52nd,WELL ORGANIZED,85.2,95.5,58%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",14,14th,48,48th,36,36th,21,21st,51,51st,80,80th,78,78th,19,19th,61,61st,27,27th,22,22nd,42,42nd,88,88th,84,84th,STRONG,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,1.6,13.3,1.5 days,VERY STRONG,VERY STRONG,VERY STRONG,95.2,96.6,"2,017","2,018",28.1,ESTABLISHED,41.870828,-87.733524
ELLINGTON,Neighborhood,ES,"60,644",2018,AVERAGE,41,41st,28,28th,WELL ORGANIZED,92.8,82.4,> 75%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",28,28th,55,55th,59,59th,10,10th,32,32nd,57,57th,48,48th,25,25th,39,39th,28,28th,11,11th,27,27th,25,25th,38,38th,NEUTRAL,VERY STRONG,VERY STRONG,STRONG,STRONG,VERY STRONG,1.5,100,3.9 days,STRONG,STRONG,VERY STRONG,96.4,95.1,"2,017","2,018",34,ESTABLISHED,41.88553,-87.766589
HITCH,Neighborhood,ES,"60,646",2018,ABOVE AVERAGE,84,84th,80,80th,WELL ORGANIZED,94.6,90.2,57%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",76,76th,73,73rd,83,83rd,90,90th,75,75th,90,90th,91,91st,61,61st,76,76th,77,77th,87,87th,72,72nd,87,87th,89,89th,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,0.7,6.7,1.5 days,STRONG,STRONG,STRONG,95.4,95.7,"2,017","2,018",12.2,ESTABLISHED,41.983672,-87.779123
GOETHE,Neighborhood,ES,"60,647",2018,ABOVE AVERAGE,83,83rd,80,80th,WELL ORGANIZED,97.7,87.7,58%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",90,90th,65,65th,73,73rd,73,73rd,93,93rd,87,87th,89,89th,81,81st,57,57th,64,64th,72,72nd,92,92nd,92,92nd,86,86th,VERY STRONG,WEAK,STRONG,STRONG,STRONG,NEUTRAL,0,0,0.0 days,STRONG,STRONG,STRONG,95.7,96.6,"2,017","2,018",12.9,ESTABLISHED,41.922831,-87.6929
ACERO - BRIGHTON PARK,Charter,ES,"60,632",,ABOVE AVERAGE,70,70th,69,69th,ORGANIZED,94.6,91.4,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",54,54th,71,71st,78,78th,68,68th,75,75th,71,71st,65,65th,24,24th,68,68th,78,78th,78,78th,84,84th,48,48th,70,70th,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.9,,"2,017","2,018",6.2,NOT RATED,41.813109,-87.693238
ACERO - CLEMENTE,Charter,ES,"60,707",,AVERAGE,56,56th,48,48th,NOT YET ORGANIZED,78.3,85.7,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",56,56th,46,46th,48,48th,47,47th,40,40th,73,73rd,73,73rd,47,47th,26,26th,30,30th,53,53rd,29,29th,60,60th,69,69th,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,WEAK,NEUTRAL,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96,,"2,017","2,018",12.1,NOT RATED,41.917952,-87.78783
HOLMES,Neighborhood,ES,"60,621",2018,BELOW AVERAGE,21,21st,11,11th,ORGANIZED,85.7,88.2,52%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",38,38th,9,9th,15,15th,8,8th,,,,,50,50th,52,52nd,1,1st,5,5th,9,9th,,,,,30,30th,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,10.9,62.9,2.5 days,STRONG,STRONG,STRONG,93.2,95.3,"2,017","2,018",53.5,NOT RATED,41.793788,-87.649795
JUNGMAN,Neighborhood,ES,"60,608",2018,AVERAGE,63,63rd,45,45th,WELL ORGANIZED,92.8,91.4,41%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",3,3rd,26,26th,52,52nd,59,59th,79,79th,93,93rd,85,85th,2,2nd,30,30th,44,44th,38,38th,24,24th,70,70th,80,80th,STRONG,VERY STRONG,VERY STRONG,STRONG,NEUTRAL,STRONG,0.4,25,4.0 days,VERY STRONG,VERY STRONG,VERY STRONG,95,94.8,"2,017","2,018",31.3,EMERGING,41.858065,-87.652302
LEARN - SOUTH CHICAGO,Charter,ES,"60,617",,AVERAGE,42,42nd,46,46th,MODERATELY ORGANIZED,96.9,86.7,41%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",41,41st,33,33rd,15,15th,26,26th,82,82nd,57,57th,76,76th,28,28th,26,26th,27,27th,21,21st,72,72nd,82,82nd,92,92nd,NEUTRAL,WEAK,VERY STRONG,NEUTRAL,NEUTRAL,VERY WEAK,,,,WEAK,WEAK,WEAK,96.1,,"2,017","2,018",30.9,NOT RATED,41.733333,-87.54558
NORTH RIVER,Small,ES,"60,625",2018,ABOVE AVERAGE,77,77th,72,72nd,WELL ORGANIZED,96.7,92.9,74%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",65,65th,62,62nd,68,68th,65,65th,76,76th,87,87th,92,92nd,49,49th,45,45th,57,57th,72,72nd,77,77th,66,66th,96,96th,VERY STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,1.2,22.2,3.0 days,NEUTRAL,STRONG,NEUTRAL,95.9,95.8,"2,017","2,018",16.8,EMERGING,41.961721,-87.707151
SAUGANASH,Neighborhood,ES,"60,646",,FAR ABOVE AVERAGE,98,98th,99,99th,WELL ORGANIZED,96.5,90.9,38%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",98,98th,99,99th,99,99th,95,95th,97,97th,99,99th,97,97th,98,98th,99,99th,99,99th,98,98th,97,97th,99,99th,97,97th,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,0,0,0.0 days,VERY STRONG,STRONG,VERY STRONG,95.7,95.6,"2,017","2,018",0.3,ESTABLISHED,41.991169,-87.745951
OROZCO,Neighborhood,ES,"60,608",2018,ABOVE AVERAGE,77,77th,68,68th,PARTIALLY ORGANIZED,90.1,63.3,30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",83,83rd,93,93rd,93,93rd,87,87th,62,62nd,65,65th,80,80th,84,84th,97,97th,94,94th,77,77th,53,53rd,59,59th,60,60th,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,2.7,11.7,2.9 days,NEUTRAL,STRONG,NEUTRAL,96.1,94.6,"2,017","2,018",14.4,EXEMPLARY,41.857755,-87.67521
MOZART,Neighborhood,ES,"60,647",2018,AVERAGE,49,49th,33,33rd,MODERATELY ORGANIZED,89,60.4,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",41,41st,25,25th,31,31st,35,35th,59,59th,52,52nd,75,75th,25,25th,21,21st,31,31st,28,28th,23,23rd,31,31st,56,56th,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,WEAK,4.7,36.3,1.6 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,95.5,"2,017","2,018",21.1,EMERGING,41.92091,-87.721888
CHRISTOPHER HOUSE,Charter,ES,"60,639",,AVERAGE,54,54th,60,60th,ORGANIZED,0,89.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",15,15th,65,65th,83,83rd,40,40th,,,,,,,18,18th,60,60th,83,83rd,66,66th,,,,,,,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.5,,"2,017","2,018",21.9,NOT RATED,41.922181,-87.757522
CARTER,Neighborhood,ES,"60,637",2018,AVERAGE,39,39th,43,43rd,ORGANIZED,93.3,99.9,39%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",53,53rd,64,64th,20,20th,15,15th,25,25th,52,52nd,56,56th,54,54th,64,64th,60,60th,29,29th,12,12th,37,37th,54,54th,NEUTRAL,WEAK,STRONG,STRONG,VERY STRONG,WEAK,5.5,44.2,1.8 days,STRONG,STRONG,STRONG,96.5,98.2,"2,017","2,018",23.2,EMERGING,41.789828,-87.622453
YCCS - PROGRESSIVE LEADERSHIP,Charter,HS,"60,637",,FAR BELOW EXPECTATIONS,,,,,NOT ENOUGH DATA,37.2,80,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,49.6,,"2,017","2,018",179,NOT RATED,41.773962,-87.61574
JAHN,Neighborhood,ES,"60,657",2018,AVERAGE,48,48th,31,31st,PARTIALLY ORGANIZED,91.4,58.1,69%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",39,39th,44,44th,10,10th,32,32nd,44,44th,87,87th,84,84th,8,8th,59,59th,22,22nd,14,14th,20,20th,56,56th,50,50th,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,NEUTRAL,1.2,11.8,2.0 days,VERY STRONG,STRONG,NEUTRAL,94.2,94,"2,017","2,018",18,EMERGING,41.939247,-87.67581
RUIZ,Neighborhood,ES,"60,608",2018,AVERAGE,57,57th,56,56th,WELL ORGANIZED,97.9,87.7,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",34,34th,47,47th,38,38th,56,56th,58,58th,58,58th,83,83rd,29,29th,59,59th,42,42nd,65,65th,43,43rd,65,65th,74,74th,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,1.3,22.7,1.9 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,92.7,93.4,"2,017","2,018",7.8,EMERGING,41.848101,-87.680745
WASHINGTON G ES,Neighborhood,ES,"60,617",2018,AVERAGE,67,67th,63,63rd,WELL ORGANIZED,86.8,81.8,55%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",68,68th,40,40th,66,66th,59,59th,63,63rd,70,70th,90,90th,76,76th,53,53rd,49,49th,46,46th,64,64th,60,60th,85,85th,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,0.3,10,1.7 days,WEAK,NEUTRAL,WEAK,95.3,95,"2,017","2,018",5.2,EMERGING,41.688131,-87.536015
REVERE,Neighborhood,ES,"60,619",2018,AVERAGE,48,48th,25,25th,PARTIALLY ORGANIZED,99.9,99.9,39%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",34,34th,77,77th,93,93rd,57,57th,10,10th,51,51st,21,21st,28,28th,63,63rd,58,58th,23,23rd,2,2nd,30,30th,11,11th,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,4.4,21.3,1.9 days,WEAK,WEAK,STRONG,94,94.5,"2,017","2,018",46.7,EMERGING,41.764196,-87.600177
HORIZON - SOUTHWEST,Charter,ES,"60,609",,BELOW AVERAGE,29,29th,29,29th,NOT YET ORGANIZED,72.8,70.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,35,35th,45,45th,11,11th,26,26th,15,15th,43,43rd,,,59,59th,64,64th,10,10th,9,9th,14,14th,41,41st,NEUTRAL,WEAK,WEAK,WEAK,WEAK,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95,,"2,017","2,018",39.6,NOT RATED,41.795201,-87.683963
MURRAY,Magnet,ES,"60,615",,ABOVE AVERAGE,71,71st,56,56th,PARTIALLY ORGANIZED,84,89.2,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",55,55th,73,73rd,46,46th,56,56th,85,85th,90,90th,83,83rd,49,49th,52,52nd,38,38th,62,62nd,72,72nd,61,61st,57,57th,NEUTRAL,WEAK,STRONG,WEAK,WEAK,WEAK,4.1,8.4,1.1 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.7,95.3,"2,017","2,018",17.5,EMERGING,41.798535,-87.59334
HARLAN HS,Neighborhood,HS,"60,628",,FAR BELOW EXPECTATIONS,,,,,PARTIALLY ORGANIZED,76.6,80,41%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEAK,NEUTRAL,STRONG,WEAK,WEAK,WEAK,36.1,28.4,1.7 days,VERY STRONG,STRONG,STRONG,82.3,92.9,"2,017","2,018",89.4,EMERGING,41.718372,-87.620623
RABY HS,Small,HS,"60,624",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,74.1,76.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,50.3,15.6,1.8 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,85.2,95.3,"2,017","2,018",85.7,ESTABLISHED,41.88621,-87.715423
SAYRE,Neighborhood,ES,"60,707",2018,AVERAGE,57,57th,42,42nd,PARTIALLY ORGANIZED,89,84.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",21,21st,93,93rd,41,41st,34,34th,63,63rd,61,61st,63,63rd,12,12th,78,78th,30,30th,21,21st,48,48th,42,42nd,57,57th,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,NEUTRAL,2.2,40,2.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.2,95.5,"2,017","2,018",21.9,EMERGING,41.914151,-87.798721
DURKIN PARK,Neighborhood,ES,"60,652",2018,ABOVE AVERAGE,71,71st,64,64th,WELL ORGANIZED,99,75.9,42%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",44,44th,57,57th,86,86th,68,68th,60,60th,76,76th,82,82nd,33,33rd,59,59th,72,72nd,64,64th,46,46th,79,79th,71,71st,STRONG,NEUTRAL,STRONG,STRONG,STRONG,WEAK,2.4,53.1,1.8 days,NEUTRAL,VERY STRONG,WEAK,94.9,95.6,"2,017","2,018",12.4,EMERGING,41.738844,-87.729955
HIRSCH HS,Neighborhood,HS,"60,619",,FAR BELOW EXPECTATIONS,,,,,ORGANIZED,58.8,93.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,VERY STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,23,22.8,3.5 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,80.2,93.8,"2,017","2,018",100.8,EMERGING,41.753748,-87.601727
